,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year,Sprint
53,53,53,53,53,53,53,53,53,1B,,Caught Stealing 2B,677594,Julio Rodríguez,543475,Jordan Lyles,664034,Ty France,R,Freddy Fermin,666023,0,0,1,True,2023-08-15,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
54,54,54,54,54,54,54,54,54,2B,3B,Stolen Base 3B,676609,José Caballero,669395,Dylan Coleman,677594,Julio Rodríguez,R,Freddy Fermin,666023,5,8,8,True,2023-08-15,Stolen,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
55,55,55,55,55,55,55,55,55,1B,,Caught Stealing 2B,596115,Trevor Story,679525,Alec Marsh,680776,Jarren Duran,R,Freddy Fermin,666023,2,0,6,False,2023-08-10,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
56,56,56,56,56,56,56,56,56,1B,,Caught Stealing 2B,622569,Pablo Reyes,543475,Jordan Lyles,680776,Jarren Duran,R,Freddy Fermin,666023,1,1,3,False,2023-08-09,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
57,57,57,57,57,57,57,57,57,1B,2B,Stolen Base 2B,622569,Pablo Reyes,666142,Cole Ragans,657136,Connor Wong,L,Freddy Fermin,666023,0,0,3,False,2023-08-07,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
58,58,58,58,58,58,58,58,58,1B,2B,Stolen Base 2B,665926,Andrés Giménez,679525,Alec Marsh,608070,José Ramírez,R,Freddy Fermin,666023,2,0,1,False,2023-07-26,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
59,59,59,59,59,59,59,59,59,1B,2B,Stolen Base 2B,672356,Gabriel Arias,679525,Alec Marsh,664702,Myles Straw,R,Freddy Fermin,666023,2,0,2,False,2023-07-26,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
60,60,60,60,60,60,60,60,60,1B,2B,Stolen Base 2B,608070,José Ramírez,679525,Alec Marsh,647304,Josh Naylor,R,Freddy Fermin,666023,3,0,2,False,2023-07-26,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
61,61,61,61,61,61,61,61,61,1B,2B,Stolen Base 2B,686823,Will Brennan,669169,Jonathan Heasley,681807,David Fry,R,Freddy Fermin,666023,7,0,4,False,2023-07-26,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
62,62,62,62,62,62,62,62,62,1B,,Caught Stealing 2B,656185,Greg Allen,664199,Taylor Clarke,519317,Giancarlo Stanton,R,Freddy Fermin,666023,5,3,7,False,2023-07-23,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
