,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
7326,1B,2B,Stolen Base 2B,621563,Joey Wendle,605164,Dylan Bundy,518595,Travis d'Arnaud,R,Chance Sisco,642082,0,5,1,True,2019-07-12,Stolen,2B
7424,1B,2B,Stolen Base 2B,621563,Joey Wendle,592879,Asher Wojciechowski,640457,Austin Meadows,R,Chance Sisco,642082,1,1,3,False,2019-07-02,Stolen,2B
7426,1B,2B,Stolen Base 2B,621563,Joey Wendle,571710,Mychal Givens,572287,Mike Zunino,R,Chance Sisco,642082,6,1,8,False,2019-07-02,Stolen,2B
7451,1B,2B,Stolen Base 2B,621563,Joey Wendle,600917,José Leclerc,642715,Willy Adames,R,Jeff Mathis,425772,6,2,8,False,2019-06-30,Stolen,2B
173,1B,2B,Stolen Base 2B,621563,Joey Wendle,502171,Alex Cobb,467092,Wilson Ramos,R,Chance Sisco,642082,3,5,5,True,2018-04-25,Stolen,2B
278,1B,,Caught Stealing 2B,621563,Joey Wendle,458681,Lance Lynn,467092,Wilson Ramos,R,Jason Castro,488771,3,2,6,False,2018-04-20,Caught,2B
360,2B,3B,Stolen Base 3B,621563,Joey Wendle,605441,Yacksel Ríos,621002,Daniel Robertson,R,Andrew Knapp,595284,3,5,6,False,2018-04-15,Stolen,3B
4422,1B,2B,Stolen Base 2B,621563,Joey Wendle,432934,Chris Young,502143,Danny Valencia,R,Drew Butera,460077,3,7,5,True,2016-09-12,Stolen,2B
4514,1B,2B,Stolen Base 2B,621563,Joey Wendle,543542,Alex Meyer,543760,Marcus Semien,R,Jett Bandy,542908,0,0,3,False,2016-09-07,Stolen,2B
3951,1B,2B,Stolen Base 2B,621563,Joey Wendle,694813,Gavin Stone,553882,Omar Narváez,R,Austin Barnes,605131,1,1,4,True,2024-04-20,Stolen,2B
4896,1B,2B,Stolen Base 2B,621563,Joey Wendle,605540,Brandon Woodruff,663743,Nick Fortes,R,William Contreras,661388,1,0,2,True,2023-09-11,Stolen,2B
5188,1B,2B,Stolen Base 2B,621563,Joey Wendle,607179,Jordan Weems,607732,Jacob Stallings,R,Keibert Ruiz,660688,3,3,7,True,2023-09-01,Stolen,2B
5365,2B,3B,Stolen Base 3B,621563,Joey Wendle,607625,Seth Lugo,607732,Jacob Stallings,R,Gary Sánchez,596142,1,0,5,True,2023-08-23,Stolen,3B
6544,1B,2B,Stolen Base 2B,621563,Joey Wendle,445276,Kenley Jansen,542932,Jon Berti,R,Connor Wong,657136,0,2,9,True,2023-06-29,Stolen,2B
6565,1B,2B,Stolen Base 2B,621563,Joey Wendle,601713,Nick Pivetta,641505,Jonathan Davis,R,Connor Wong,657136,1,1,5,True,2023-06-28,Stolen,2B
6999,1B,2B,Stolen Base 2B,621563,Joey Wendle,656629,Michael Kopech,607732,Jacob Stallings,R,Yasmani Grandal,518735,0,0,2,True,2023-06-10,Stolen,2B
7593,1B,2B,Stolen Base 2B,621563,Joey Wendle,680686,Josiah Gray,643265,Garrett Cooper,R,Keibert Ruiz,660688,2,0,5,False,2023-05-16,Stolen,2B
387,1B,2B,Stolen Base 2B,621563,Joey Wendle,432934,Chris Young,502143,Danny Valencia,R,Drew Butera,460077,3,7,5,True,2016-09-12,Stolen,2B
479,1B,2B,Stolen Base 2B,621563,Joey Wendle,543542,Alex Meyer,543760,Marcus Semien,R,Jett Bandy,542908,0,0,3,False,2016-09-07,Stolen,2B
3794,1B,2B,Stolen Base 2B,621563,Joey Wendle,432934,Chris Young,502143,Danny Valencia,R,Drew Butera,460077,3,7,5,True,2016-09-12,Stolen,2B
3886,1B,2B,Stolen Base 2B,621563,Joey Wendle,543542,Alex Meyer,543760,Marcus Semien,R,Jett Bandy,542908,0,0,3,False,2016-09-07,Stolen,2B
