,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
75,75,75,1B,2B,Stolen Base 2B,516770,Starlin Castro,489446,Kirby Yates,434158,Curtis Granderson,R,Austin Hedges,595978,2,3,9,False,2019-07-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
76,76,76,1B,2B,Stolen Base 2B,621035,Chris Taylor,664192,Joey Lucchesi,457759,Justin Turner,L,Austin Hedges,595978,1,2,3,False,2019-07-07,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
77,77,77,1B,2B,Stolen Base 2B,622168,Yairo Muñoz,664192,Joey Lucchesi,446308,Matt Wieters,L,Austin Hedges,595978,2,0,5,True,2019-06-30,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
78,78,78,1B,,Caught Stealing 2B,622168,Yairo Muñoz,606131,Luis Perdomo,664056,Harrison Bader,R,Austin Hedges,595978,3,2,6,True,2019-06-30,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
79,79,79,1B,2B,Stolen Base 2B,664056,Harrison Bader,615698,Cal Quantrill,543939,Kolten Wong,R,Austin Hedges,595978,0,1,6,True,2019-06-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
80,80,80,1B,2B,Stolen Base 2B,596115,Trevor Story,615698,Cal Quantrill,621311,David Dahl,R,Austin Hedges,595978,2,1,3,False,2019-06-14,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
81,81,81,1B,,Caught Stealing 2B,656555,Rhys Hoskins,606131,Luis Perdomo,457803,Jay Bruce,R,Austin Hedges,595978,6,9,9,True,2019-06-04,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
82,82,82,1B,,Caught Stealing 2B,446481,Sean Rodríguez,641778,Eric Lauer,605400,Aaron Nola,L,Austin Hedges,595978,0,0,3,True,2019-06-03,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
83,83,83,1B,,Caught Stealing 2B,605119,Brian Anderson,476589,Adam Warren,445988,Martín Prado,R,Austin Hedges,595978,3,7,7,True,2019-06-01,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
84,84,84,1B,,Caught Stealing 2B,641658,Garrett Hampson,605538,Matt Wisler,547172,Tony Wolters,R,Austin Hedges,595978,9,2,5,False,2019-05-10,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4
85,85,85,1B,2B,Stolen Base 2B,624424,Michael Conforto,621381,Matt Strahm,607043,Brandon Nimmo,L,Austin Hedges,595978,2,2,7,True,2019-05-08,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
86,86,86,1B,2B,Stolen Base 2B,665742,Juan Soto,606131,Luis Perdomo,435062,Howie Kendrick,R,Austin Hedges,595978,6,6,6,False,2019-04-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
87,87,87,1B,2B,Stolen Base 2B,645302,Victor Robles,621381,Matt Strahm,543685,Anthony Rendon,L,Austin Hedges,595978,0,0,1,False,2019-04-26,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
88,88,88,2B,3B,Stolen Base 3B,645302,Victor Robles,621381,Matt Strahm,665742,Juan Soto,L,Austin Hedges,595978,0,0,1,False,2019-04-26,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4
89,89,89,1B,2B,Stolen Base 2B,572191,Michael A. Taylor,489446,Kirby Yates,572821,Brian Dozier,R,Austin Hedges,595978,3,4,9,False,2019-04-26,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
90,90,90,1B,2B,Stolen Base 2B,605480,Mallex Smith,676606,Nick Margevicius,657024,Erik Swanson,L,Austin Hedges,595978,3,0,5,True,2019-04-23,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4
