,Outcome,Inplay,Event,Pitch,Description,Start_speed,End_speed,breakAngle,breakLength,breakY,breakVertical,breakHorizontal,breakVerticalInduced,spinRate,location,batter_name,batter_side,batter_split,pitcher_id,pitcher_name,pitcher_hand,pitcher_split,Date
90,B,False,,Curveball,Ball,75.3,70.1,6.0,15.6,24.0,,,,1747,,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
91,X,True,,Changeup,"In play, out(s)",80.7,75.2,22.8,8.4,24.0,,,,1605,5,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
92,X,True,,Sinker,"In play, out(s)",87.4,80.0,22.8,6.0,24.0,,,,1651,3,Ryan Howard,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
93,B,False,,Sinker,Ball,89.4,82.3,27.6,6.0,24.0,,,,1751,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
94,S,False,,Cutter,Swinging Strike,89.1,82.3,12.0,4.8,24.0,,,,1533,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
95,F,False,,Sinker,Foul,90.1,82.8,36.0,7.2,24.0,,,,2393,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
96,B,False,,Sinker,Ball,92.1,84.2,38.4,9.6,24.0,,,,3010,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
97,F,False,,Cutter,Foul,89.7,82.6,10.8,4.8,24.0,,,,1324,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
98,B,False,,Sinker,Ball,92.1,84.6,39.6,7.2,24.0,,,,2598,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
99,F,False,,Cutter,Foul,92.0,84.2,16.8,6.0,24.0,,,,1357,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
100,S,False,,Cutter,Swinging Strike,90.7,84.4,10.8,4.8,24.0,,,,1268,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
101,B,False,,Sinker,Ball,92.0,85.1,32.4,7.2,24.0,,,,2148,,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
102,X,True,,Cutter,"In play, out(s)",89.4,81.4,10.8,6.0,24.0,,,,1236,4,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
103,B,False,,Sinker,Ball,91.1,82.8,33.6,7.2,24.0,,,,2291,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
104,S,False,,Cutter,Swinging Strike,90.3,83.4,3.6,4.8,24.0,,,,1452,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
105,B,False,,Sinker,Ball,90.6,84.2,27.6,8.4,24.0,,,,1918,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
106,S,False,,Cutter,Swinging Strike,91.2,84.7,12.0,4.8,24.0,,,,1407,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
107,D,True,,Cutter,"In play, no out",90.7,84.4,14.4,6.0,24.0,,,,1149,9,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
108,B,False,,Cutter,Ball,90.8,83.9,3.6,6.0,24.0,,,,963,,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
109,F,False,,Cutter,Foul,90.6,83.7,13.2,4.8,24.0,,,,1389,,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
110,D,True,,Cutter,"In play, no out",90.6,83.7,7.2,6.0,24.0,,,,1056,9,Brett Myers,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
111,B,False,,Cutter,Ball,90.2,83.4,19.2,6.0,24.0,,,,1331,,Michael Bourn,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
112,B,False,,Cutter,Ball,89.6,82.6,13.2,6.0,24.0,,,,1179,,Michael Bourn,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
113,C,False,,Cutter,Called Strike,90.5,83.5,18.0,6.0,24.0,,,,1342,,Michael Bourn,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
114,X,True,,Cutter,"In play, out(s)",90.1,83.7,2.4,4.8,24.0,,,,1041,9,Michael Bourn,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
