,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength,Exchange
152,152,1B,2B,Stolen Base 2B,669242,Tommy Edman,573186,Marcus Stroman,680977,Brendan Donovan,R,Yan Gomes,543228,4,4,4,False,2023-06-25,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
153,153,2B,,Caught Stealing 3B,656582,Connor Joe,592767,Drew Smyly,467793,Carlos Santana,L,Yan Gomes,543228,1,5,5,True,2023-06-14,Caught,3B,2023,2024,29.8,2024, 75.2, 0.55
154,154,2B,3B,Stolen Base 3B,687263,Zach Neto,592767,Drew Smyly,660271,Shohei Ohtani,L,Yan Gomes,543228,3,1,6,False,2023-06-08,Stolen,3B,2023,2024,29.8,2024, 75.2, 0.55
155,155,1B,2B,Stolen Base 2B,621493,Taylor Ward,592767,Drew Smyly,660271,Shohei Ohtani,L,Yan Gomes,543228,3,1,6,False,2023-06-08,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
156,156,1B,2B,Stolen Base 2B,670764,Taylor Walls,643410,Mark Leiter Jr.,642350,Jose Siri,R,Yan Gomes,543228,3,4,8,True,2023-05-31,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
157,157,1B,2B,Stolen Base 2B,622534,Manuel Margot,657240,Julian Merryweather,664040,Brandon Lowe,R,Yan Gomes,543228,3,4,9,True,2023-05-31,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
158,158,1B,2B,Stolen Base 2B,677551,Wander Franco,543294,Kyle Hendricks,668227,Randy Arozarena,R,Yan Gomes,543228,0,0,1,True,2023-05-30,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
159,159,1B,2B,Stolen Base 2B,666139,Josh Lowe,543294,Kyle Hendricks,677551,Wander Franco,R,Yan Gomes,543228,1,0,3,True,2023-05-30,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
160,160,2B,3B,Stolen Base 3B,656413,Stuart Fairchild,592767,Drew Smyly,669222,Nick Senzel,L,Yan Gomes,543228,0,1,2,True,2023-05-28,Stolen,3B,2023,2024,29.8,2024, 75.2, 0.55
161,161,1B,2B,Stolen Base 2B,680574,Matt McLain,592767,Drew Smyly,668715,Spencer Steer,L,Yan Gomes,543228,3,3,5,True,2023-05-28,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
162,162,1B,2B,Stolen Base 2B,670770,TJ Friedl,592791,Jameson Taillon,680574,Matt McLain,R,Yan Gomes,543228,4,3,5,True,2023-05-27,Stolen,2B,2023,2024,29.8,2024, 75.2, 0.55
